id,longitude,latitude,easting,northing,sg_bdod,sg_cec,sg_cfvo,sg_clay,sg_nitrogen,sg_ocd,sg_phh2o,sg_sand,sg_silt,sg_soc
40,-74.08,-12.849999999999996,599829.5209318887,8579273.857089074,1.184973120689392,21.457551956176758,23.15945053100586,24.203123092651367,6.170237064361572,30.641061782836914,6,42.48370361328125,33.32080078125,30.747121810913086
41,-74.02,-12.870000000000008,606332.2786018534,8577037.850261334,1.2481954097747803,23.43270492553711,23.226476669311523,30.978897094726563,4.10418701171875,26.38994598388672,6.349123954772949,35.652427673339844,33.32936096191406,33.735496520996094
42,-73.87,-13.13,622481.8138766955,8548213.602364775,1.2899999618530273,19.405839920043945,24.136587142944336,27.83403778076172,1.4709534645080566,24.440685272216797,6.800000190734863,40.81389617919922,31.253353118896484,21.50031852722168
43,-74.02,-12.949999999999998,606298.4631892933,8568189.839643631,1.254528284072876,23.46415138244629,22.43961524963379,25.57169532775879,3.908302068710327,22.50943374633789,6.645282745361328,40.29999923706055,34.12830352783203,26.40754508972168
44,-73.79,-13.09999999999999,631170.1216125961,8551491.652544029,1.2043782472610474,21.178691864013672,25.777860641479492,30.16960334777832,3.219217538833618,28.060564041137695,5.794510364532471,37.50522232055664,32.28001022338867,26.78036117553711
45,-74.06,-12.919999999999998,601971.5764899433,8571524.108704906,1.2465027570724487,25.281280517578125,22.717472076416016,27.69357681274414,3.971843719482422,27.498300552368164,6.307858467102051,38.949039459228516,33.305908203125,29.987625122070313
46,-73.98,-12.870000000000001,610672.7792761426,8577020.97463995,1.166334867477417,24.5885066986084,30.307661056518555,27.8098087310791,5.097493648529053,25.945573806762695,6.250842094421387,39.402626037597656,32.80825424194336,26.297521591186523
47,-74.01,-12.950000000000005,607383.2386584035,8568185.659991056,1.259043574333191,23.401845932006836,21.594282150268555,26.91232681274414,2.726410150527954,23.36635398864746,6.599999904632568,40.79027557373047,32.28363800048828,21.988849639892578
48,-73.88,-13.150000000000007,621387.9472656307,8546006.308022693,1.2569369077682495,19.628854751586914,27.960176467895508,26.548982620239258,1.9194921255111694,20.439380645751953,6.699999809265137,39.070335388183594,34.383026123046875,16.12080192565918
49,-73.89,-13.040000000000006,620357.4132348351,8558177.744975137,1.241875171661377,19.581478118896484,21.507770538330078,25.885393142700195,2.731870412826538,21.386371612548828,6.403913497924805,39.12466812133789,34.98993682861328,22.1720027923584
50,-74.07,-12.849999999999993,600914.7104098825,8579269.960391536,1.2136496305465698,23.55071258544922,26.071653366088867,24.14143180847168,6.4593281745910645,27.051156997680664,6.243910789489746,40.62784194946289,35.176246643066406,29.402549743652344
51,-74.07,-12.970000000000006,600866.5763198119,8565998.119400965,1.190000057220459,25.666393280029297,22.691450119018555,23.812068939208984,5.022447109222412,27.448074340820313,6.389496326446533,40.727455139160156,35.45928955078125,20.94672203063965
52,-74.02,-12.920000000000007,606311.1681313221,8571507.849775007,1.247829794883728,24.64885902404785,23.593687057495117,27.392118453979492,3.6348390579223633,25.31850814819336,6.478297233581543,39.3681526184082,33.2496452331543,21.549579620361328
53,-74.05,-12.94000000000001,603048.2626636083,8569308.119252242,1.1910759210586548,23.87394142150879,23.915245056152344,25.56378746032715,5.425739765167236,29.934757232666016,6.300000190734863,40.050498962402344,34.369415283203125,27.409141540527344
54,-73.95,-12.990000000000004,613873.7558830228,8563735.578823622,1.2497527599334717,22.05462074279785,21.31498146057129,27.786869049072266,3.3426036834716797,23.266773223876953,6.4239397048950195,37.998226165771484,34.22469711303711,26.623289108276367
55,-73.92,-13.079999999999998,617085.3100479941,8553767.59490117,1.2682260274887085,24.795921325683594,24.542428970336914,30.572309494018555,2.2204959392547607,22.457916259765625,6.682984828948975,36.43076705932617,32.99692153930664,26.048507690429688
56,-73.9,-13.080000000000002,619253.7950886346,8553758.257631075,1.264346957206726,24.845842361450195,25.277935028076172,25.673805236816406,2.207484006881714,23.980531692504883,6.233771324157715,40.66283416748047,33.670448303222656,19.147600173950195
57,-73.91,-12.879999999999994,618264.0852430806,8575883.783922467,1.1714131832122803,23.58794403076172,22.851261138916016,25.3666934967041,4.943479061126709,30.032672882080078,6.300673484802246,39.164493560791016,35.46881103515625,32.94230651855469
58,-73.99,-13.029999999999994,609517.7349645363,8559329.0372733,1.2748792171478271,21.814756393432617,25.260271072387695,26.84069061279297,1.7763367891311646,22.706878662109375,6.504966735839844,38.292850494384766,34.77143096923828,19.839599609375
59,-73.82,-13.080000000000002,627927.8689703081,8553719.19422607,1.2067575454711914,23.81664276123047,29.114418029785156,27.569780349731445,5.451132774353027,25.516496658325195,6.267574787139893,38.630882263183594,33.81946563720703,24.437877655029297
