"id","longitude","latitude","BI","DVI","GLI","GNDVI","MBI","MSAVI","NBR","NDMI","NDVI","VARI"
17,-73.82,-13.17,0.205702006816864,0.0805750042200089,0.0918203219771385,0.522699892520905,0.313061594963074,0.144108235836029,0.0238234829157591,-0.144617661833763,0.443231225013733,-0.128335177898407
18,-73.91,-13.15,0.111182332038879,0.127820000052452,0.0231817290186882,0.480897188186646,0.251716673374176,0.202016055583954,0.128455832600594,-0.0325544700026512,0.376339644193649,-0.174635007977486
19,-73.97,-13.07,0.191009059548378,0.125551253557205,0.0390154235064983,0.430152386426926,0.286423087120056,0.188575655221939,0.0136659601703286,-0.122256010770798,0.318174481391907,-0.170711636543274
20,-73.96,-13,0.148013636469841,0.0420887507498264,0.0364700220525265,0.492842823266983,0.247750550508499,0.078059546649456,0.0717845857143402,-0.0540446601808071,0.368081599473953,-0.193348497152328
21,-74.12,-12.91,0.262249648571014,0.106590002775192,0.0451491847634315,0.502599656581879,0.365044265985489,0.176366835832596,-0.00730158062651753,-0.211225420236588,0.382718592882156,-0.186421141028404
22,-73.98,-12.99,-0.151943489909172,0.146492511034012,0.165052071213722,0.698710501194,0.114846527576447,0.268465518951416,0.477274149656296,0.249258920550346,0.686774790287018,-0.0282856654375792
23,-73.87,-13.16,0.138915449380875,0.128273755311966,0.0230595413595438,0.524703979492188,0.263228923082352,0.207429647445679,0.093373216688633,-0.0605151280760765,0.405995458364487,-0.197297021746635
24,-73.83,-13.07,0.196309447288513,0.0511500015854836,0.184385314583778,0.633544862270355,0.292838126420975,0.0975679978728294,0.0921138748526573,-0.0920505747199059,0.538889050483704,-0.14633010327816
25,-74,-12.88,-0.0299097709357738,0.122636251151562,0.169852167367935,0.701456606388092,0.205046057701111,0.227897614240646,0.360079139471054,0.110725626349449,0.675677180290222,-0.057677686214447
26,-73.78,-13.12,-0.0451662875711918,0.0915749967098236,0.222842052578926,0.686140060424805,0.205292314291,0.174562886357307,0.392398774623871,0.122042953968048,0.692805290222168,0.0149456486105919
